DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR03,ALRU,2007,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,2007,LIVE,2,0.73,11.266,4.169,5.225,16
TP001,6,HR03,ALRU,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALL,2007,INGROWTH,94,0.94,12.358,4.87,4.567,16
TP001,6,HR03,ALL,2007,LIVE,391,64.093,1520.914,564.679,542.888,16
TP001,6,HR03,ALL,2007,MORTALITY,32,0.179,1.672,0.621,0.597,16
TP001,6,HR04,PISI,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,PISI,1978,LIVE,28,53.841,1374.461,507.379,487.576,16
TP001,6,HR04,PISI,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,TSHE,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,TSHE,1978,LIVE,47,21.945,535.573,224.941,196.246,16
TP001,6,HR04,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALRU,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,ALRU,1978,LIVE,1,0.407,6.45,2.386,2.974,16
TP001,6,HR04,ALRU,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,ALL,1978,LIVE,76,76.193,1916.484,734.706,686.796,16
TP001,6,HR04,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,PISI,1984,INGROWTH,55,0.251,2.274,0.841,0.806,16
TP001,6,HR04,PISI,1984,LIVE,83,54.705,1393.26,514.328,494.245,16
TP001,6,HR04,PISI,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,TSHE,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,TSHE,1984,LIVE,47,22.451,548.667,230.44,201.009,16
TP001,6,HR04,TSHE,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALRU,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR04,ALRU,1984,LIVE,1,0.442,7.143,2.643,3.279,16
TP001,6,HR04,ALRU,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALL,1984,INGROWTH,55,0.251,2.274,0.841,0.806,16
TP001,6,HR04,ALL,1984,LIVE,131,77.598,1949.07,747.411,698.533,16
TP001,6,HR04,ALL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,PISI,1989,INGROWTH,47,0.183,1.598,0.591,0.566,16
TP001,6,HR04,PISI,1989,LIVE,130,55.645,1411.126,520.887,500.581,16
TP001,6,HR04,PISI,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,TSHE,1989,INGROWTH,1,0.003,0.016,0.007,0.008,16
TP001,6,HR04,TSHE,1989,LIVE,48,23.147,568.268,238.672,208.017,16
TP001,6,HR04,TSHE,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALRU,1989,INGROWTH,4,0.028,0.167,0.062,0.096,16
TP001,6,HR04,ALRU,1989,LIVE,5,0.462,7.144,2.643,3.302,16
TP001,6,HR04,ALRU,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,ALL,1989,INGROWTH,53,0.215,1.78,0.66,0.67,16
TP001,6,HR04,ALL,1989,LIVE,183,79.254,1986.537,762.202,711.9,16
TP001,6,HR04,ALL,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR04,PISI,1995,INGROWTH,109,0.41,3.61,1.336,1.279,16
TP001,6,HR04,PISI,1995,LIVE,225,54.964,1391.332,513.582,493.56,16
TP001,6,HR04,PISI,1995,MORTALITY,15,4.526,111.284,41.064,39.476,16
TP001,6,HR04,TSHE,1995,INGROWTH,4,0.01,0.044,0.018,0.023,16
